award_id,Organization ,Award title,Category,Work ,Year ,Result 
awd_1,Romantic Times ,Reviewers' Choice Best Book Award,Best Epic Fantasy Novel Award ,Elantris ,2005,Won 
awd_2,World Science Fiction Convention ,John W. Campbell Award for Best New Writer ,,,2006,Nominated 
awd_3,Romantic Times ,Reviewers' Choice Best Book Award,Best Epic Fantasy Novel Award ,Mistborn ,2006,Nominated 
awd_4,World Science Fiction Convention ,John W. Campbell Award for Best New Writer ,,,2007,Nominated 
awd_5,Romantic Times ,Reviewers' Choice Best Book Award,Best Epic Fantasy Novel Award ,The Well of Ascension ,2007,Nominated 
awd_6,Polytechnic University of Catalonia ,UPC Science Fiction Award ,,Defending Elysium ,2007,Won 
awd_7,LDStorymakers ,Whitney Awards,Best Speculative Fiction ,The Well of Ascension ,2007,Nominated 
awd_8,,Whitney Awards,Best Youth Fiction ,Alcatraz Versus the Evil Librarians ,2007,Nominated 
awd_9,Romantic Times ,Reviewers' Choice Best Book Award,Best Epic Fantasy Novel Award ,The Hero of Ages ,2008,Won 
awd_10,LDStorymakers ,Whitney Awards,Best Speculative Fiction Award ,The Hero of Ages ,2008,Won 
awd_11,LDStorymakers ,Whitney Awards,Best Speculative Fiction ,Warbreaker ,2009,Nominated 
awd_12,LDStorymakers ,Whitney Awards,Best Speculative Fiction Award ,The Way of Kings ,2010,Won 
awd_13,LDStorymakers ,Whitney Awards,Best Novel of the Year Award ,The Way of Kings ,2010,Won 
awd_14,Goodreads ,Goodreads Choice Awards 2010,Best Fantasy of 2010 ,Towers of Midnight ,2010,Won 
awd_15,DGLA ,David Gemmell Legend Award ,,The Way of Kings ,2011,Won 
awd_16,LDStorymakers ,Whitney Awards,Best Speculative Fiction Award ,The Alloy of Law ,2011,Won 
awd_17,Goodreads ,Goodreads Choice Awards 2012,Best Fantasy of 2012 ,The Emperor's Soul ,2012,Nominated 
awd_18,World Science Fiction Society ,Hugo Award,Best Novella ,The Emperor's Soul ,2013,Won 
awd_19,World Fantasy Convention ,World Fantasy Award,Best Novella ,The Emperor's Soul ,2013,Nominated 
awd_20,Goodreads ,Goodreads Choice Awards 2013,Best Fantasy of 2013 ,A Memory of Light ,2013,Nominated 
awd_21,LDStorymakers ,Whitney Awards,Best Young Adult—Speculative ,Steelheart ,2013,Won 
awd_22,Goodreads ,Goodreads Choice Awards 2013,Best Young Adult Fantasy of 2013 ,Steelheart ,2013,Nominated 
awd_23,World Science Fiction Society ,Hugo Award,Best Novel ,The Wheel of Time ,2014,Nominated 
awd_24,DGLA ,David Gemmell Legend Award,Best Novel ,A Memory of Light ,2014,Nominated 
awd_25,Goodreads ,Goodreads Choice Awards 2014,Best Fantasy of 2014 ,Words of Radiance ,2014,Nominated 
awd_26,Whitney Awards ,2014 Whitney Finalists,Speculative ,Words of Radiance ,2014,Won 
awd_27,DGLA ,David Gemmell Legend Award,Legend Award ,Words of Radiance ,2015,Won 
awd_28,Goodreads ,Goodreads Choice Awards 2015,Best Fantasy of 2015 ,Shadows of Self ,2015,Nominated 
awd_29,,Goodreads Choice Awards 2015,Best Young Adult Fantasy of 2015 ,Firefight ,2015,Nominated 
awd_30,World Science Fiction Society ,Hugo Award,Best Novella ,Perfect State ,2016,Nominated 
awd_31,Dragon Con ,Dragon Award,Best Young Adult / Middle Grade Novel ,Calamity ,2016,Nominated 
awd_32,DGLA ,David Gemmell Legend Award,Legend Award ,The Bands of Mourning ,2017,Nominated 
awd_33,DGLA ,David Gemmell Legend Award,Best Fantasy Novel ,Oathbringer ,2018,Nominated 
awd_34,World Science Fiction Society ,Hugo Award,Best Series ,The Stormlight Archive ,2018,Nominated 
awd_35,Dragon Con ,Dragon Award,Best Fantasy Novel (Including Paranormal) ,Rhythm of War ,2021,Nominated 
